,user,word,description
76,6,зебра,"Парнокопитна тварина, дика, має чорно-білі смуги"
77,6,корова,"Парнокопитна, рогата, велика, тварина, одомашнена, дає молоко"
78,6,ведмідь,"Дика всеїдна тварина, може жити в лісі і мати коричневе хутро або на північному полюсі і мат біле хутро"
79,6,олень,"Парнокопитна дика тварина, має унікальні великі красиві роги які скидає раз на рік, використовує їх для битви з іншими самцями свого виду"
80,6,страус,Ховає голову в пісок
81,6,курка,"Домашня птиця, несе яйця"
82,6,пінгвін,"Чорно-біла птиця, живе на південному полюсі"
83,6,сова,"Дика хижа нічна птиця, може повертати голову на 360 градусів, полює на мишей та інших мілких тваринок"
84,6,лебідь,"Зазвичай біла птиця, з довгою шиєю, часто ж символом кохання"
85,6,морквина,"Овоч помаранчевого кольору, довгий, росте в землі"
86,6,яблуко,"Фрукт, росте на деревах, дозріває вкінці літа, популярний сорт цього фрукта голден"
87,6,банан,"Жовтий довгий фрукт, привозиться з теплих країн"
88,6,картопля,Традиційний овоч Білорусії
89,6,лимон,"Кислий фрукт, жовтий, невеликого розміру"
90,7,кінь,Тварина яку використовують для пересування. На нього одягають сідло або запрягають в карету.
91,7,зебра,"Тварина яке схоже на коня, але має білі і чорні смужки. Часто можна побачити в зоопарку."
92,7,корова,"велика тварина, яку тримають для отримання молока. Має біле забарвлення з чорними плямами."
93,7,ведмідь,"Велика небезпечна тварина, що живе в лісі. Любить мед."
94,7,олень,"Тварина, мешкає в лісі, має гарні великі роги."
95,7,страус,"великий птах, що не вміє літати, але може швидко бігати. Часто можна бачити в зоопарку."
96,7,курка,Птах який тримають на фермі для виробництва яєць і м'яса.
97,7,пінгвін,Птах що не вміє літати. Має чорно-біле забарвлення. Живе в холодному кліматі.
98,7,сова,"Птах що живе в лісі. Спить днем, вночі полює."
99,7,лебідь,Красивий птах білого кольору. Має довгу шию. Часто можна бачити в зоопарку.
100,7,морквина,Довгий овоч помаранчевого кольору. Зростає в землі. Його люблять зайчики.
101,7,яблуко,Один з найвідоміших фруктів. Зростає на деревах. Зазвичай червоного або зеленого кольору.
102,7,банан,"Довгий фрукт жовтого кольору, який дуже люблять мавпи. Має шкірку."
103,7,картопля,"Овоч, що росте в землі. Коричневого кольору. З нього роблять пюре."
104,7,лимон,"Цитрус, жовтого кольору. Кислий і містить багато вітамін. Часто додають в чай."
105,8,кінь,"тварина, супутник людини, засіб пересування і тяглова сила і помічник в сільгосп роботах і грізна військова сила"
106,8,зебра,"Дикий африканський смугастий (чорний, зі світло-жовтим) кінь."
107,8,корова,"Домашня молочна тварина, самка великої рогатої худоби, а також деяких інших рогатих тварин"
108,8,ведмідь,Великий хижий ссавець тварина з довгою шерстю і товстими ногами.
109,8,олень,Жуйний парнокопитний ссавець з гіллястими рогами.
110,8,страус,Найбільший бігучий (нелетючий) птах жарких країн з красивим оперенням.
111,8,курка,"Домашня птиця, самка півня."
112,8,пінгвін,"Південна полярна птиця з короткими крилами яка вміє плавати, але не літає."
113,8,сова,Хижий нічний птах з великими очима і гачкуватим дзьобом
114,8,лебідь,Велика водоплавна птиця з довгою зігнутою шиєю.
115,8,морквина,"Городня рослина, овоч з їстівним солодкуватим помаранчевим потовщеним коренем."
116,8,яблуко,"соковитий плід, який вживається в їжу в свіжому вигляді, є сировиною в кулінарії і для приготування напоїв."
117,8,банан,"фрукт з шкіркою. Колір шкірки може бути: жовтий, червоний, зелений або сріблястий. Що стосується м'якоті, то її забарвлення може бути білий, жовтий, кремовий або помаранчевий"
118,8,картопля,"Рід овоча, рослина з їстівними бульбами, багатими крохмалем"
119,8,лимон,ароматний цитрус з твердою шкіркою і кислої на смак м'якоттю.
